event,start,end,start_local,duration_h,total_rain_in,peak_rain_10min_in,peak_rain_30min_in,peak_rain_1h_in,peak_rain_3h_in,peak_rain_6h_in,peak_rain_12h_in,peak_rain_24h_in,api_at_start,season_rain_at_start_in,peak_duty_15min_pct,peak_duty_60min_pct,peak_runs_per_15min,pump_runs,total_gallons,gal_per_cycle,peak_inflow_gpm,peak_inflow_gpm_60min,headroom_gpm,peak_bridge_stage_ft,bridge_obs_in_window,peak_ross_stage_ft,peak_ross_flow_cfs,lag_rain_to_inflow_h,lag_rain_to_bridge_h
11,2025-11-20 08:10:00+00:00,2025-11-20 14:40:00+00:00,2025-11-20 00:10,6.5,0.34,0.04,0.11,0.15,0.29,0.33,0.34,0.34,2.547,5.95,5.33,3.89,3,19,408.8,21.52,4.48,3.27,79.52,1.63,5,4.71,15.9,0.22,0.33
12,2025-11-25 12:10:00+00:00,2025-11-25 12:10:00+00:00,2025-11-25 04:10,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.669,6.27,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.32,1,4.34,3.2,,7.33
13,2025-12-17 09:50:00+00:00,2025-12-17 20:20:00+00:00,2025-12-17 01:50,10.5,0.09,0.02,0.04,0.05,0.07,0.08,0.09,0.09,0.176,6.28,1.67,0.83,1,3,63.0,21.0,1.4,0.7,82.6,1.47,2,4.5,3.4,-0.32,4.83
14,2025-12-19 20:40:00+00:00,2025-12-20 02:30:00+00:00,2025-12-19 12:40,5.83,0.12,0.01,0.03,0.04,0.07,0.12,0.12,0.12,0.209,6.37,1.67,0.83,1,5,105.0,21.0,1.4,0.7,82.6,1.53,2,4.57,5.1,-3.33,1.5
15,2025-12-20 20:30:00+00:00,2025-12-20 20:30:00+00:00,2025-12-20 12:30,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.299,6.49,1.67,0.42,1,0,0.0,,1.4,0.35,82.6,,0,4.43,2.0,,
16,2025-12-21 04:40:00+00:00,2025-12-23 04:40:00+00:00,2025-12-20 20:40,48.0,3.3,0.08,0.18,0.34,0.79,1.5,2.3,2.77,0.299,6.5,16.22,12.33,8,287,6542.2,22.8,13.63,10.36,70.37,4.81,59,9.07,746.0,0.65,1.83
17,2025-12-23 16:20:00+00:00,2025-12-24 12:40:00+00:00,2025-12-23 08:20,20.33,1.21,0.09,0.23,0.3,0.48,0.6,1.15,1.21,3.03,9.8,22.56,11.67,10,128,2909.2,22.73,18.95,9.8,65.05,3.34,25,6.93,288.0,7.08,7.17
18,2025-12-25 00:40:00+00:00,2025-12-25 10:50:00+00:00,2025-12-24 16:40,10.17,1.15,0.22,0.39,0.41,0.69,0.69,1.15,1.37,3.743,11.01,50.78,23.22,12,172,4361.0,25.35,42.65,19.51,41.35,5.29,40,9.42,836.0,0.07,0.5
19,2025-12-25 19:10:00+00:00,2025-12-26 06:30:00+00:00,2025-12-25 11:10,11.33,0.66,0.08,0.14,0.26,0.34,0.46,0.84,1.46,4.542,12.16,13.67,10.06,7,103,2325.4,22.58,11.48,8.45,72.52,3.13,19,6.65,241.0,0.2,0.33
20,2025-12-26 21:50:00+00:00,2025-12-26 23:30:00+00:00,2025-12-26 13:50,1.67,0.35,0.08,0.14,0.23,0.35,0.35,0.35,0.82,4.693,12.87,9.78,6.44,5,33,728.0,22.06,8.21,5.41,75.79,3.44,16,6.87,278.0,0.17,0.67
21,2025-12-28 14:20:00+00:00,2025-12-28 14:20:00+00:00,2025-12-28 06:20,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.183,13.17,1.67,0.42,1,1,21.0,21.0,1.4,0.35,82.6,1.95,2,5.02,36.3,5.38,1.33
22,2025-12-31 18:00:00+00:00,2026-01-02 10:20:00+00:00,2025-12-31 10:00,40.33,3.23,0.08,0.18,0.29,0.48,0.83,1.56,2.35,3.01,13.18,19.11,14.22,9,435,9949.8,22.87,16.05,11.95,67.95,4.46,57,8.25,552.0,-0.02,1.17
23,2026-01-02 21:40:00+00:00,2026-01-06 15:50:00+00:00,2026-01-02 13:40,90.17,5.54,0.11,0.32,0.51,0.89,1.37,2.11,2.81,5.203,16.41,32.0,23.89,12,824,19654.6,23.85,26.88,20.07,57.12,7.38,139,12.12,1640.0,-0.28,62.83
24,2026-01-13 16:10:00+00:00,2026-01-13 16:10:00+00:00,2026-01-13 08:10,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.863,21.95,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.6,1,4.68,13.7,,3.33
25,2026-01-28 02:10:00+00:00,2026-01-28 08:50:00+00:00,2026-01-27 18:10,6.67,0.21,0.02,0.04,0.06,0.14,0.19,0.21,0.21,0.856,21.96,1.78,1.28,1,9,191.8,21.31,1.49,1.07,82.51,1.44,2,4.56,9.2,-0.57,2.0
26,2026-02-10 22:10:00+00:00,2026-02-12 03:40:00+00:00,2026-02-10 14:10,29.5,1.36,0.09,0.25,0.35,0.42,0.54,0.84,1.25,0.257,22.17,17.0,8.83,8,77,1708.0,22.18,14.28,7.42,69.72,2.34,28,5.35,66.4,0.03,6.5
27,2026-02-15 04:30:00+00:00,2026-02-17 03:10:00+00:00,2026-02-14 20:30,46.67,3.76,0.18,0.29,0.46,1.12,1.83,2.7,3.19,1.087,23.53,32.89,25.72,12,434,10575.6,24.37,27.63,21.61,56.37,6.9,81,11.51,1460.0,-2.05,-1.0
28,2026-02-17 14:30:00+00:00,2026-02-18 08:40:00+00:00,2026-02-17 06:30,18.17,0.95,0.09,0.18,0.3,0.48,0.59,0.81,1.06,4.167,27.35,16.11,9.22,8,149,3378.2,22.67,13.53,7.75,70.47,3.67,20,7.31,374.0,-0.1,2.83
29,2026-02-18 16:30:00+00:00,2026-02-19 18:30:00+00:00,2026-02-18 08:30,26.0,1.45,0.11,0.29,0.45,0.64,1.01,1.18,1.43,4.532,28.24,25.11,18.06,11,197,4558.4,23.14,21.09,15.17,62.91,3.95,28,7.81,475.0,-0.1,3.17
30,2026-02-24 07:00:00+00:00,2026-02-24 15:00:00+00:00,2026-02-23 23:00,8.0,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.03,3.377,29.69,1.67,0.42,1,2,42.0,21.0,1.4,0.35,82.6,1.81,2,4.9,34.4,0.2,0.5
31,2026-02-25 01:00:00+00:00,2026-02-25 06:00:00+00:00,2026-02-24 17:00,5.0,0.34,0.03,0.07,0.13,0.29,0.34,0.34,0.37,3.159,29.73,5.11,3.06,3,21,449.4,21.4,4.29,2.57,79.71,2.31,8,5.46,85.7,0.72,0.67
32,2026-03-02 12:00:00+00:00,2026-03-02 13:20:00+00:00,2026-03-02 04:00,1.33,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,1.969,30.06,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.62,1,4.69,19.7,,7.5
33,2026-03-31 21:40:00+00:00,2026-04-01 05:10:00+00:00,2026-03-31 14:40,7.5,0.05,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.109,30.09,1.67,0.42,1,1,21.0,21.0,1.4,0.35,82.6,1.32,1,4.34,3.8,-0.12,2.33
34,2026-04-01 18:20:00+00:00,2026-04-01 18:40:00+00:00,2026-04-01 11:20,0.33,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.07,0.138,30.13,1.67,0.42,1,1,21.0,21.0,1.4,0.35,82.6,1.32,1,4.36,4.4,0.13,0.83
35,2026-04-02 02:40:00+00:00,2026-04-02 08:00:00+00:00,2026-04-01 19:40,5.33,0.2,0.03,0.04,0.07,0.15,0.2,0.2,0.22,0.153,30.15,3.33,1.25,2,9,189.0,21.0,2.8,1.05,81.2,1.53,6,4.54,11.4,0.07,1.0
36,2026-04-10 10:40:00+00:00,2026-04-10 18:40:00+00:00,2026-04-10 03:40,8.0,0.46,0.05,0.11,0.18,0.33,0.44,0.46,0.46,0.153,30.35,7.0,3.92,4,22,471.8,21.45,5.88,3.29,78.12,1.9,11,4.94,37.4,-0.05,1.33
37,2026-04-11 03:10:00+00:00,2026-04-12 04:10:00+00:00,2026-04-10 20:10,25.0,1.3,0.14,0.26,0.37,0.77,0.8,1.17,1.29,0.576,30.81,17.11,9.81,8,71,1625.4,22.89,14.37,8.24,69.63,2.72,29,6.07,164.0,0.2,0.83
38,2026-04-12 12:10:00+00:00,2026-04-12 19:10:00+00:00,2026-04-12 05:10,7.0,0.45,0.09,0.2,0.22,0.35,0.41,0.45,1.37,1.745,32.14,14.56,5.89,7,27,618.8,22.92,12.23,4.95,71.77,2.1,12,5.26,65.1,-0.1,0.67
39,2026-04-20 15:30:00+00:00,2026-04-21 15:30:00+00:00,2026-04-20 08:30,24.0,1.84,0.06,0.17,0.27,0.66,1.03,1.4,1.83,0.928,32.56,11.0,7.69,6,122,2651.6,21.73,9.24,6.46,74.76,2.28,22,5.53,93.5,-0.13,-0.17
40,2026-04-22 10:40:00+00:00,2026-04-22 20:20:00+00:00,2026-04-22 03:40,9.67,0.39,0.03,0.08,0.14,0.28,0.33,0.39,0.42,2.362,34.4,5.11,3.42,3,25,534.8,21.39,4.29,2.87,79.71,2.09,13,5.44,83.5,-0.47,8.33
